from_stop_id,to_stop_id,transfer_type,min_transfer_time
"ch:1:sloid:2953::51","ch:1:sloid:2953::50","2","240"
"ch:1:sloid:2954::50","ch:1:sloid:2954::51","2","60"
"ch:1:sloid:2954::51","ch:1:sloid:2954::50","2","60"
"ch:1:sloid:2960::50","ch:1:sloid:2960::51","2","60"
"ch:1:sloid:2960::51","ch:1:sloid:2960::50","2","60"
"ch:1:sloid:2961::50","ch:1:sloid:2961::51","2","60"
"ch:1:sloid:2961::51","ch:1:sloid:2961::50","2","60"
"ch:1:sloid:2963::50","ch:1:sloid:2963::51","2","60"
"ch:1:sloid:2963::51","ch:1:sloid:2963::50","2","60"
"ch:1:sloid:2986::50","ch:1:sloid:2986::51","2","240"
"ch:1:sloid:2986::51","ch:1:sloid:2986::50","2","240"
"ch:1:sloid:2991::50","ch:1:sloid:2991::51","2","240"
"ch:1:sloid:2991::51","ch:1:sloid:2991::50","2","240"
"ch:1:sloid:2992::50","ch:1:sloid:2992::51","2","60"
"ch:1:sloid:2992::51","ch:1:sloid:2992::50","2","60"
"ch:1:sloid:30473::0","ch:1:sloid:30473::20","2","180"
"ch:1:sloid:30473::0","ch:1:sloid:30473::21","2","180"
"ch:1:sloid:30473::0","ch:1:sloid:30473::22","2","180"
"ch:1:sloid:30473::20","ch:1:sloid:30473::0","2","180"
"ch:1:sloid:30473::20","ch:1:sloid:30473::21","2","60"
"ch:1:sloid:30473::20","ch:1:sloid:30473::22","2","60"
"ch:1:sloid:30473::21","ch:1:sloid:30473::0","2","180"
"ch:1:sloid:30473::21","ch:1:sloid:30473::20","2","60"
"ch:1:sloid:30473::21","ch:1:sloid:30473::22","2","60"
"ch:1:sloid:30473::22","ch:1:sloid:30473::0","2","180"
"ch:1:sloid:30473::22","ch:1:sloid:30473::20","2","60"
"ch:1:sloid:30473::22","ch:1:sloid:30473::21","2","60"
"ch:1:sloid:3059::0","ch:1:sloid:3059::1","2","60"
"ch:1:sloid:3059::0","ch:1:sloid:3059::2","2","60"
"ch:1:sloid:3059::0","ch:1:sloid:76193::0","2","540"
"ch:1:sloid:3059::0","ch:1:sloid:76193::1","2","540"
"ch:1:sloid:3059::0","ch:1:sloid:76193::2","2","540"
"ch:1:sloid:3059::0","ch:1:sloid:76193::3","2","540"
